[0145.27] Log: [[Game]] CLIENT: RegionChange to Unknown, seed=0, clearingAllInterest=0
[0145.27] Log: [[Game]] CLIENT: RegionChange to Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, seed=1488502313, clearingAllInterest=0
[0145.27] Error: [VerifyFail] Verify failed: settings.generateAreas == false
        File:D:\mirrorBuilds_source05\MarvelGame_v52\Source\Game\Game/Region/Region.cpp Line:344

[0145.27] Log: [[Game]] Navi Fast Triangle Lookup: 16x18 = 288 sectors
[0145.29] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X0Y1.cell, cellid=1, cellpos=(0.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.30] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X3Y1.cell, cellid=12, cellpos=(6912.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X3Y2.cell, cellid=13, cellpos=(6912.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X3Y3.cell, cellid=14, cellpos=(6912.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X4Y0.cell, cellid=15, cellpos=(9216.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X4Y1.cell, cellid=16, cellpos=(9216.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X4Y2.cell, cellid=17, cellpos=(9216.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X4Y3.cell, cellid=18, cellpos=(9216.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X4Y4.cell, cellid=19, cellpos=(9216.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X4Y5.cell, cellid=20, cellpos=(9216.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X4Y6.cell, cellid=21, cellpos=(9216.00, 13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X5Y0.cell, cellid=22, cellpos=(11520.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X5Y1.cell, cellid=23, cellpos=(11520.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X5Y2.cell, cellid=24, cellpos=(11520.00, 4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X5Y3.cell, cellid=25, cellpos=(11520.00, 6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X5Y4.cell, cellid=26, cellpos=(11520.00, 9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X5Y5.cell, cellid=27, cellpos=(11520.00, 11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0145.31] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH02_JerseyDocks/StorageYard/JerseyDocks_StorageYard_X5Y6.cell, cellid=28, cellpos=(11520.00, 13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH02JerseyDocks/CH0201ShippingYardRegion.prototype, ID=0x40065a479d30003 (288342133244624899), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
