// AVEC BOOL ESSAI 1


[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_Island_1x1.cell, cellid=20, cellpos=(20736.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_B.cell, cellid=27, cellpos=(23040.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_Island_B.cell, cellid=23, cellpos=(27648.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_B/Marsh_B_NESW_C.cell, cellid=9, cellpos=(23040.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NESW_C.cell, cellid=29, cellpos=(27648.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_C/Marsh_C_NESW_A.cell, cellid=28, cellpos=(25344.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NSW_A.cell, cellid=33, cellpos=(23040.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_Trans/Marsh_NSW_SCInstEntry.cell, cellid=35, cellpos=(27648.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NSW_A.cell, cellid=34, cellpos=(25344.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_Trans/Marsh_NSW_SCInstEntry_B.cell, cellid=32, cellpos=(20736.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NESWcS_A.cell, cellid=7, cellpos=(18432.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NEW_A.cell, cellid=19, cellpos=(18432.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NEW_A.cell, cellid=25, cellpos=(18432.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NEW_A.cell, cellid=13, cellpos=(18432.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NW_A.cell, cellid=31, cellpos=(18432.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_ESW_A.cell, cellid=18, cellpos=(29952.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_ESW_A.cell, cellid=30, cellpos=(29952.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_ESW_A.cell, cellid=24, cellpos=(29952.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.94] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_Trans/Marsh_ESW_SCInstEntry.cell, cellid=12, cellpos=(29952.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_SW_A.cell, cellid=36, cellpos=(29952.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NES_A.cell, cellid=5, cellpos=(27648.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NES_A.cell, cellid=2, cellpos=(20736.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NES_A.cell, cellid=4, cellpos=(25344.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NES_A.cell, cellid=3, cellpos=(23040.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_ES_A.cell, cellid=6, cellpos=(29952.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Marsh_A/Marsh_A_NE_A.cell, cellid=1, cellpos=(18432.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Savagelands_Trans/JungleToMarsh_Trans_SN_A.cell, cellid=37, cellpos=(16128.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/RopeBridge_Trans/RopeBridge_NS_A.cell, cellid=38, cellpos=(13824.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_HeavyJungle_3L3_B.cell, cellid=65, cellpos=(4608.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_Trans/Brood_Jungle_SCStationEntry_A.cell, cellid=55, cellpos=(9216.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_ScienceSpire.cell, cellid=70, cellpos=(2304.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_C/Dino_Jungle_MiniVillage.cell, cellid=73, cellpos=(9216.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_Trans/Jungle_Brood_Caves_Entry_A.cell, cellid=60, cellpos=(6912.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_Trans/Brood_Jungle_SHIELD_A.cell, cellid=58, cellpos=(2304.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_C_NESW_A.cell, cellid=66, cellpos=(6912.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_HeavyJungle_3L3_C.cell, cellid=64, cellpos=(2304.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_HeavyJungle_1x2_A.cell, cellid=72, cellpos=(6912.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_HeavyJungle_2x1_A.cell, cellid=61, cellpos=(9216.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_HeavyJungle_3L3_A.cell, cellid=59, cellpos=(4608.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_Trans/Brood_Jungle_SCInstEntry.cell, cellid=49, cellpos=(9216.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_HeavyJungle_1x2_B.cell, cellid=71, cellpos=(4608.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_C/Brood_Jungle_HeavyJungle_2x1_B.cell, cellid=67, cellpos=(9216.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESWdNE_A.cell, cellid=46, cellpos=(2304.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESWdSE_A.cell, cellid=48, cellpos=(6912.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Brood_Jungle_Trans/Brood_Jungle_SCTowerEntry_A.cell, cellid=47, cellpos=(4608.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESWdSW_A.cell, cellid=54, cellpos=(6912.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=69, cellpos=(0.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=45, cellpos=(0.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=63, cellpos=(0.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=51, cellpos=(0.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NEW_A.cell, cellid=57, cellpos=(0.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESWdNW_A.cell, cellid=52, cellpos=(2304.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NESWcN_A.cell, cellid=50, cellpos=(11520.00, -13824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ESW_A.cell, cellid=74, cellpos=(11520.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ESW_A.cell, cellid=56, cellpos=(11520.00, -11520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.95] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ESW_A.cell, cellid=68, cellpos=(11520.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_ESW_A.cell, cellid=62, cellpos=(11520.00, -9216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
[0048.96] Log: [[Game]] Adding cell Resource/Cells/Savagelands/Dino_Jungle_A/Dino_Jungle_A_NES_A.cell, cellid=42, cellpos=(6912.00, -16128.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH07SavageLand/CH0701SavagelandRegion.prototype, ID=0x400659da3f20003 (288342103886528515), DIFF=Tier1Normal, SEED=1038711701, GAMEID=clientGameId=0x1
