[0080.40] Log: [[Game]] Navi Fast Triangle Lookup: 26x33 = 858 sectors
[0080.41] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X0_Y0_NYPD_Rear.cell, cellid=1, cellpos=(0.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X3_Y2_NES.cell, cellid=12, cellpos=(4608.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y3_SW.cell, cellid=13, cellpos=(6912.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X0_Y1_Attorney.cell, cellid=14, cellpos=(2304.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X2_Y5_ESW.cell, cellid=15, cellpos=(11520.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.42] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X3_Y4_NES.cell, cellid=16, cellpos=(9216.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X3_Y5_ES.cell, cellid=17, cellpos=(11520.00, -6912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X2_Y4_NESW.cell, cellid=18, cellpos=(9216.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X2_Y1_Corner_A.cell, cellid=19, cellpos=(2304.00, -4608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y4_Corner_B.cell, cellid=20, cellpos=(9216.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y5_Barricade.cell, cellid=21, cellpos=(11520.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X0_Y4_NEW.cell, cellid=22, cellpos=(9216.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X0_Y5_SubwayEntry.cell, cellid=23, cellpos=(11520.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y4_NW.cell, cellid=24, cellpos=(9216.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y5_NSW.cell, cellid=25, cellpos=(11520.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X0_Y6_ESW.cell, cellid=26, cellpos=(13824.00, 0.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y6_SW.cell, cellid=27, cellpos=(13824.00, 2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.43] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_B_X1_Y6_ES.cell, cellid=28, cellpos=(13824.00, -2304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X0_Y0_NE.cell, cellid=29, cellpos=(-8000.00, 8000.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X0_Y1_NES.cell, cellid=30, cellpos=(-5696.00, 8000.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X0_Y2_ES.cell, cellid=31, cellpos=(-3392.00, 8000.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X1_Y0_NEW.cell, cellid=32, cellpos=(-8000.00, 10304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X1_Y1_NESW_Subway.cell, cellid=33, cellpos=(-5696.00, 10304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X1_Y2_Entry_ESW.cell, cellid=34, cellpos=(-3392.00, 10304.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X2_Y0_NW.cell, cellid=35, cellpos=(-8000.00, 12608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X2_Y3_ES.cell, cellid=36, cellpos=(-1088.00, 12608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X3_Y0_NE.cell, cellid=37, cellpos=(-8000.00, 14912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.44] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X3_Y3_ESW_TR.cell, cellid=38, cellpos=(-1088.00, 14912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X4_Y0_NEW.cell, cellid=39, cellpos=(-8000.00, 17216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X4_Y1_NESW_Park.cell, cellid=40, cellpos=(-5696.00, 17216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X4_Y2_Church_A.cell, cellid=41, cellpos=(-3392.00, 17216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X4_Y3_Church_B.cell, cellid=42, cellpos=(-1088.00, 17216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X5_Y0_NW.cell, cellid=43, cellpos=(-8000.00, 19520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X5_Y2_Cemetery_A.cell, cellid=44, cellpos=(-3392.00, 19520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X5_Y3_Cemetery_B.cell, cellid=45, cellpos=(-1088.00, 19520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X6_Y2_Arson.cell, cellid=46, cellpos=(-3392.00, 21824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X6_Y1_NW.cell, cellid=47, cellpos=(-5696.00, 21824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X4_Y4_NES.cell, cellid=48, cellpos=(1216.00, 17216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X6_Y4_SW.cell, cellid=49, cellpos=(1216.00, 21824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X5_Y4_Power_A.cell, cellid=50, cellpos=(1216.00, 19520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X5_Y5_NYPD_A.cell, cellid=51, cellpos=(3520.00, 19520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X4_Y5_ES.cell, cellid=52, cellpos=(3520.00, 17216.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X6_Y5_NYPD_B.cell, cellid=53, cellpos=(3520.00, 21824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X3_Y2_Gym.cell, cellid=54, cellpos=(-3392.00, 14912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X6_Y3_NSW_TR.cell, cellid=55, cellpos=(-1088.00, 21824.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X3_Y1_Corner_A.cell, cellid=56, cellpos=(-5696.00, 14912.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X2_Y1_Corner_B.cell, cellid=57, cellpos=(-5696.00, 12608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X2_Y2_Corner_D.cell, cellid=58, cellpos=(-3392.00, 12608.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0080.45] Log: [[Game]] Adding cell Resource/Cells/DistrictCells/CH01_HellsKitchen_Brownstones/Brownstone_A_X5_Y1_Corner_B.cell, cellid=59, cellpos=(-5696.00, 19520.00, 0.00), game=clientGameId=0x1 in region Regions/StoryRevamp/CH01HellsKitchen/CH0101HellsKitchenRegion.prototype, ID=0x40065a3dd5d0003 (288342130619645955), DIFF=Tier1Normal, SEED=1488502313, GAMEID=clientGameId=0x1
[0082.45] Log: FKAggregateGeom::InstanceNovodexGeom: () No geometries in FKAggregateGeom.
[0082.45] Log: URB_BodyInstance::InitBody : Could not create new Shape:
[0082.45] Log: FKAggregateGeom::InstanceNovodexGeom: () No geometries in FKAggregateGeom.
[0082.45] Log: URB_BodyInstance::InitBody : Could not create new Shape:
[0082.83] Error: [VerifyFail] Verify failed: worldInfo->StreamingLevels.Num() == 0
        File:D:\mirrorBuilds_source05\MarvelGame_v52\UnrealEngine3\Development\Src\MarvelGame\Src\UnrealRegionAdapter.cpp Line:233
